"name","avg_price","percent_growth"
Vepřová pečeně s kostí,107.00,51.56
Přírodní minerální voda uhličitá,8.19,59.72
Jakostní víno bílé,95.97,65.36
Hovězí maso zadní bez kosti,183.32,69.28
Šunkový salám,121.60,74.27
Kapr živý,82.10,84.94
Mléko polotučné pasterované,17.00,86.14
"Pivo výčepní, světlé, lahvové",9.50,104.40
Eidamská cihla,124.75,113.79
Kuřata kuchaná celá,58.90,122.14
Chléb konzumní kmínový,20.41,128.89
Banány žluté,29.84,135.13
Pečivo pšeničné bílé,42.93,138.97
Cukr krystalový,20.82,143.12
Rýže loupaná dlouhozrnná,30.47,144.17
Rostlinný roztíratelný tuk,81.77,158.57
Jogurt bílý netučný,6.71,164.19
Jablka konzumní,30.24,171.75
Pšeničná mouka hladká,10.44,173.52
Pomeranče,30.08,176.41
Těstoviny vaječné,33.31,199.01
Vejce slepičí čerstvá,27.64,219.92
Máslo,128.03,236.23
Mrkev,16.32,293.41
Konzumní brambory,12.88,387.09
Rajská jablka červená kulatá,42.16,456.27
Papriky,57.18,621.68
