"year","country","gdp_growth_pct","salary_growth_pct","price_growth_pct","taxes","diff_gdp_price","diff_gdp_salary"
1960,Czech Republic,,,,,,
1961,Czech Republic,,,,,,
1962,Czech Republic,,,,,,
1963,Czech Republic,,,,,,
1964,Czech Republic,,,,,,
1965,Czech Republic,,,,,,
1966,Czech Republic,,,,,,
1967,Czech Republic,,,,,,
1968,Czech Republic,,,,,,
1969,Czech Republic,,,,,,
1970,Czech Republic,,,,,,
1971,Czech Republic,,,,,,
1972,Czech Republic,,,,,,
1973,Czech Republic,,,,,,
1974,Czech Republic,,,,,,
1975,Czech Republic,,,,,,
1976,Czech Republic,,,,,,
1977,Czech Republic,,,,,,
1978,Czech Republic,,,,,,
1979,Czech Republic,,,,,,
1980,Czech Republic,,,,,,
1981,Czech Republic,,,,,,
1982,Czech Republic,,,,,,
1983,Czech Republic,,,,,,
1984,Czech Republic,,,,,,
1985,Czech Republic,,,,,,
1986,Czech Republic,,,,,,
1987,Czech Republic,,,,,,
1988,Czech Republic,,,,,,
1989,Czech Republic,,,,,,
1990,Czech Republic,,,,,,
1991,Czech Republic,-11.61,,,,,
1992,Czech Republic,-0.51,,,,,
1993,Czech Republic,0.06,,,18.7482112517764,,
1994,Czech Republic,2.91,,,16.6521205916282,,
1995,Czech Republic,6.50,,,16.2381773920539,,
1996,Czech Republic,4.27,,,15.2960631513922,,
1997,Czech Republic,-0.52,,,15.0846463564117,,
1998,Czech Republic,-0.36,,,14.3672703262136,,
1999,Czech Republic,1.38,,,14.8700633781968,,
2000,Czech Republic,4.00,,,14.4749860557544,,
2001,Czech Republic,3.04,9.69,,14.7414666828996,,-6.65
2002,Czech Republic,1.57,8.28,,14.5648317231405,,-6.71
2003,Czech Republic,3.58,6.07,,14.9858046108097,,-2.49
2004,Czech Republic,4.81,6.29,,15.4064666649563,,-1.48
2005,Czech Republic,6.60,5.57,,14.4846863633168,,1.03
2006,Czech Republic,6.77,6.69,,14.2222295228868,,0.08
2007,Czech Republic,5.57,6.86,6.34,14.6116900671662,-0.77,-1.29
2008,Czech Republic,2.69,7.87,6.41,13.6730928105351,-3.72,-5.18
2009,Czech Republic,-4.66,3.17,-6.80,13.5702219344919,2.14,-7.83
2010,Czech Republic,2.43,1.96,1.77,13.6507574751995,0.66,0.47
2011,Czech Republic,1.76,2.31,3.50,14.5202634059379,-1.74,-0.55
2012,Czech Republic,-0.79,3.01,6.92,14.9287634461197,-7.71,-3.80
2013,Czech Republic,-0.05,-1.49,5.55,15.0811610763803,-5.60,1.44
2014,Czech Republic,2.26,2.57,0.89,14.4296540586861,1.37,-0.31
2015,Czech Republic,5.39,2.54,-0.56,14.7695604553833,5.95,2.85
2016,Czech Republic,2.54,3.69,-1.12,14.9127775532102,3.66,-1.15
2017,Czech Republic,5.17,6.31,9.98,15.0055285503497,-4.81,-1.14
2018,Czech Republic,3.20,7.65,1.94,14.8364085391609,1.26,-4.45
2019,Czech Republic,2.31,7.39,,14.7978405946975,,-5.08
2020,Czech Republic,-5.60,2.33,,,,-7.93
