"country","year","gdp","gini","population","taxes"
Austria,2020,419595298128.512,,8917205.0,
Austria,2019,449199380962.245,,8879920.0,25.5793267629718
Austria,2018,442915585749.024,30.8,8840521.0,25.430348081384
Austria,2017,431775262676.529,29.7,8797566.0,25.4236447885622
Austria,2016,421657228102.472,30.8,8736668.0,25.4191692326751
Austria,2015,413432253216.039,30.5,8642699.0,26.8261674155428
Austria,2014,409280100109.633,30.5,8546356.0,26.4178983110922
Austria,2013,406591421433.927,30.8,8479823.0,26.4151730942712
Austria,2012,406487747903.707,30.5,8429991.0,25.92819764092
Austria,2011,403740513438.199,30.8,8391643.0,25.4279852755305
